CustomerID,Age,Gender,MaritalStatus,Occupation,IncomeLevel,CreditLimit,CreditScore,CardType,YearsWithBank,NumberOfCreditCards,AverageMonthlySpending,LatePayments,CreditCardUsage,MobileBankingUsage,CustomerSatisfactionRating
CUST0001,44,Male,Widowed,Private Sector Employee,54278,11254,645,Gold,6,2,4951,3,0.44,Yes,1
CUST0002,40,Female,Single,Government Employee,61471,5371,505,Silver,10,2,4619,6,0.86,No,2
CUST0003,43,Male,Single,Private Sector Employee,80036,5708,341,Silver,2,2,4052,6,0.71,Yes,2
CUST0004,21,Male,Divorced,Student,2431,4642,721,Gold,2,2,696,0,0.15,Yes,2
CUST0005,41,Female,Widowed,Government Employee,51298,7360,520,Silver,9,1,5814,8,0.79,Yes,3
CUST0006,32,Male,Single,Government Employee,27175,12556,602,Gold,20,2,7031,3,0.56,Yes,4
CUST0007,52,Female,Widowed,Government Employee,37335,17893,565,Silver,11,2,10735,3,0.6,Yes,1
CUST0008,19,Male,Single,Student,1722,3527,644,Gold,3,2,1163,2,0.33,Yes,2
CUST0009,42,Female,Divorced,Business Owner,115399,36749,807,Diamond,14,2,13229,1,0.36,Yes,5
CUST0010,40,Female,Married,Executive,86677,20962,303,Silver,4,4,13834,9,0.66,No,4
CUST0011,21,Male,Widowed,Student,2722,1197,464,Silver,1,2,813,7,0.68,Yes,3
CUST0012,34,Female,Single,Government Employee,26891,5007,804,Gold,14,1,2403,0,0.48,No,2
CUST0013,47,Female,Married,Government Employee,32205,11090,516,Silver,1,1,5877,4,0.53,Yes,1
CUST0014,51,Male,Divorced,Government Employee,61646,18497,408,Silver,17,4,15167,4,0.82,Yes,2
CUST0015,57,Male,Widowed,Executive,81048,74151,759,Diamond,15,1,25952,0,0.35,Yes,1
CUST0016,49,Female,Single,Executive,236621,20028,675,Platinum,18,1,10014,2,0.5,Yes,3
CUST0017,60,Female,Widowed,Business Owner,121684,45194,704,Platinum,17,3,17173,0,0.38,Yes,5
CUST0018,44,Male,Married,Executive,104410,23521,840,Platinum,11,3,8232,1,0.35,Yes,5
CUST0019,48,Male,Married,Business Owner,158800,31791,553,Silver,8,2,18120,4,0.57,Yes,2
CUST0020,50,Male,Divorced,Executive,104194,41988,347,Silver,1,3,24772,3,0.59,Yes,1
CUST0021,44,Male,Married,Business Owner,108808,30262,428,Silver,8,3,18762,8,0.62,Yes,1
CUST0022,45,Female,Divorced,Government Employee,76879,14762,590,Silver,8,2,9300,9,0.63,No,2
CUST0023,38,Female,Married,Executive,84707,41501,362,Silver,20,1,33200,5,0.8,No,4
CUST0024,62,Female,Divorced,Business Owner,67149,37932,669,Platinum,16,3,20483,3,0.54,Yes,2
CUST0025,20,Female,Single,Student,4562,4623,345,Silver,5,2,2958,7,0.64,Yes,2
CUST0026,37,Male,Widowed,Private Sector Employee,60386,15408,638,Gold,1,4,4930,2,0.32,Yes,2
CUST0027,47,Male,Married,Private Sector Employee,52076,18892,815,Gold,15,1,2267,1,0.12,Yes,5
CUST0028,48,Female,Single,Executive,148884,28336,714,Platinum,2,4,3116,0,0.11,No,3
CUST0029,57,Female,Widowed,Private Sector Employee,73897,15941,459,Silver,13,3,8608,7,0.54,No,1
CUST0030,52,Female,Single,Business Owner,50373,15508,363,Silver,15,4,9614,3,0.62,Yes,1
CUST0031,26,Female,Married,Private Sector Employee,45915,18969,726,Gold,2,3,8156,1,0.43,Yes,1
CUST0032,27,Female,Married,Government Employee,48082,7263,300,Silver,5,2,4793,4,0.66,Yes,3
CUST0033,54,Male,Divorced,Government Employee,32639,15018,793,Gold,15,4,7208,0,0.48,No,5
CUST0034,61,Male,Married,Business Owner,125509,36514,732,Platinum,18,1,9858,1,0.27,Yes,2
CUST0035,58,Male,Married,Government Employee,52576,19635,726,Gold,20,1,1963,0,0.1,Yes,5
CUST0036,35,Male,Single,Business Owner,162434,14622,614,Gold,16,1,10235,1,0.7,Yes,4
CUST0037,54,Female,Married,Executive,198445,21335,306,Silver,18,2,12160,3,0.57,No,1
CUST0038,45,Male,Divorced,Executive,142791,57387,577,Silver,16,5,49926,6,0.87,Yes,1
CUST0039,46,Male,Divorced,Government Employee,76139,18595,806,Gold,3,3,7252,1,0.39,Yes,4
CUST0040,65,Male,Single,Executive,204778,22600,778,Platinum,11,2,11300,0,0.5,Yes,4
CUST0041,21,Female,Married,Student,1993,1564,305,Silver,3,2,1251,4,0.8,Yes,1
CUST0042,29,Male,Single,Government Employee,57081,13526,640,Gold,1,4,4598,2,0.34,Yes,3
CUST0043,53,Male,Married,Business Owner,56959,23120,684,Platinum,12,5,11560,1,0.5,Yes,2
CUST0044,20,Male,Widowed,Student,2203,1393,303,Silver,3,2,877,3,0.63,No,1
CUST0045,64,Female,Widowed,Business Owner,97778,35271,845,Diamond,3,4,12697,0,0.36,Yes,4
CUST0046,64,Male,Single,Business Owner,92339,32013,683,Platinum,5,3,18247,1,0.57,Yes,1
CUST0047,48,Female,Divorced,Business Owner,90503,12901,547,Silver,17,1,9804,7,0.76,Yes,2
CUST0048,23,Male,Single,Student,3975,2851,842,Gold,4,2,655,0,0.23,Yes,1
CUST0049,24,Male,Single,Student,2368,2698,546,Silver,4,2,1753,4,0.65,Yes,1
CUST0050,54,Male,Divorced,Private Sector Employee,90062,11165,643,Gold,13,1,4466,2,0.4,Yes,3
CUST0051,43,Male,Married,Business Owner,157886,48144,548,Silver,20,5,28404,3,0.59,No,3
CUST0052,50,Male,Married,Executive,89694,26718,336,Silver,10,3,17099,4,0.64,Yes,1
CUST0053,22,Female,Divorced,Student,3732,1748,350,Silver,2,2,1398,10,0.8,Yes,2
CUST0054,41,Female,Single,Executive,147437,36342,459,Silver,10,5,32707,6,0.9,Yes,4
CUST0055,55,Female,Divorced,Executive,210887,48903,700,Platinum,2,4,16137,1,0.33,No,3
CUST0056,18,Female,Married,Student,4451,2144,739,Gold,4,2,900,1,0.42,Yes,4
CUST0057,26,Female,Married,Government Employee,59999,16428,582,Silver,12,2,13799,4,0.84,No,4
CUST0058,51,Male,Single,Business Owner,159635,44646,493,Silver,11,3,39288,3,0.88,Yes,2
CUST0059,33,Male,Divorced,Private Sector Employee,30774,14181,659,Gold,11,4,5530,2,0.39,Yes,5
CUST0060,19,Female,Widowed,Student,4478,4872,709,Gold,5,1,1266,0,0.26,No,4
CUST0061,40,Female,Widowed,Executive,143496,73031,593,Silver,9,5,61346,4,0.84,Yes,4
CUST0062,40,Male,Divorced,Government Employee,71384,13600,636,Gold,7,2,6936,1,0.51,Yes,1
CUST0063,57,Female,Married,Government Employee,35516,14164,664,Gold,20,1,6373,1,0.45,Yes,3
CUST0064,18,Male,Married,Student,4002,2269,674,Gold,5,2,816,2,0.36,No,4
CUST0065,58,Male,Single,Private Sector Employee,53046,8224,521,Silver,1,5,6661,9,0.81,Yes,1
CUST0066,65,Male,Married,Business Owner,92701,42510,471,Silver,18,3,25080,3,0.59,No,4
CUST0067,57,Female,Divorced,Government Employee,75300,6074,381,Silver,19,5,3279,7,0.54,Yes,1
CUST0068,31,Male,Widowed,Private Sector Employee,39526,11371,492,Silver,17,4,9210,6,0.81,No,4
CUST0069,19,Male,Widowed,Student,4932,2224,821,Gold,5,2,511,1,0.23,No,4
CUST0070,41,Female,Married,Executive,162756,49633,527,Silver,8,2,25809,5,0.52,Yes,1
CUST0071,37,Female,Single,Government Employee,47003,16647,552,Silver,6,5,13151,6,0.79,No,1
CUST0072,30,Male,Divorced,Private Sector Employee,33024,12747,357,Silver,11,2,8795,8,0.69,No,4
CUST0073,45,Female,Divorced,Government Employee,62571,14818,305,Silver,4,5,8890,4,0.6,No,4
CUST0074,54,Female,Single,Executive,135732,48260,410,Silver,14,4,26060,10,0.54,No,2
CUST0075,54,Female,Married,Private Sector Employee,44290,12023,560,Silver,16,3,9017,6,0.75,Yes,2
CUST0076,41,Male,Married,Private Sector Employee,66467,12265,569,Silver,18,2,6745,6,0.55,Yes,3
CUST0077,38,Female,Widowed,Executive,178488,55947,311,Silver,19,3,32449,6,0.58,No,1
CUST0078,50,Male,Single,Government Employee,57448,12150,688,Gold,9,5,7654,1,0.63,No,5
CUST0079,24,Female,Widowed,Student,3525,4863,608,Gold,1,2,3063,1,0.63,Yes,4
CUST0080,26,Female,Single,Private Sector Employee,54616,6320,781,Gold,3,4,1390,1,0.22,No,1
CUST0081,28,Male,Single,Private Sector Employee,83383,10764,606,Gold,18,2,4736,3,0.44,No,3
CUST0082,60,Male,Single,Private Sector Employee,94604,8631,396,Silver,9,3,4919,5,0.57,Yes,2
CUST0083,47,Male,Divorced,Government Employee,70704,12511,369,Silver,11,5,10008,8,0.8,No,4
